Plot,Trt,DAT,Rep,Distance,Injury,Heightin,Plants,Injured,Heightcm
101,Xtendimax w/Vaporgrip,14,1,0,15,14,76,40,36
101,Xtendimax w/Vaporgrip,14,1,30,12,14,,,36
101,Xtendimax w/Vaporgrip,14,1,60,25,15,,,38
101,Xtendimax w/Vaporgrip,14,1,90,5,13.5,,,34
101,Xtendimax w/Vaporgrip,14,1,120,5,14,,,36
101,Xtendimax w/Vaporgrip,14,1,  ,4,13,,,33
101,Xtendimax w/Vaporgrip,14,1,180,4,13,,,33
101,Xtendimax w/Vaporgrip,14,1,210,5,16,,,41
101,Xtendimax w/Vaporgrip,14,1,240,2,16,,,41
101,Xtendimax w/Vaporgrip,14,1,270,1,15.5,,,39
101,Xtendimax w/Vaporgrip,14,1,300,1,13,,,33
102,Xtendimax w/Vaporgrip + PowerMax + Intact,14,1,0,7,15,84,39,38
102,Xtendimax w/Vaporgrip + PowerMax + Intact,14,1,30,5,17,,,43
102,Xtendimax w/Vaporgrip + PowerMax + Intact,14,1,60,15,17,,,43
102,Xtendimax w/Vaporgrip + PowerMax + Intact,14,1,90,4,16,,,41
102,Xtendimax w/Vaporgrip + PowerMax + Intact,14,1,120,3,16,,,41
102,Xtendimax w/Vaporgrip + PowerMax + Intact,14,1,150,2,16.5,,,42
102,Xtendimax w/Vaporgrip + PowerMax + Intact,14,1,180,30,15,,,38
102,Xtendimax w/Vaporgrip + PowerMax + Intact,14,1,210,3,16,,,41
102,Xtendimax w/Vaporgrip + PowerMax + Intact,14,1,240,2,16,,,41
102,Xtendimax w/Vaporgrip + PowerMax + Intact,14,1,270,4,17,,,43
102,Xtendimax w/Vaporgrip + PowerMax + Intact,14,1,300,0,17,,,43
103,Xtendimax w/Vaporgrip + PowerMax,14,1,0,40,15.5,73,45,39
103,Xtendimax w/Vaporgrip + PowerMax,14,1,30,30,15,,,38
103,Xtendimax w/Vaporgrip + PowerMax,14,1,60,28,15,,,38
103,Xtendimax w/Vaporgrip + PowerMax,14,1,90,12,15,,,38
