Plot,Trt,DAT,Rep,Distance,Injury,Heightin,Plants,Injured,Heightcm
101,Xtendimax + PowerMax,14,1,0,2,16,75,5,66
101,Xtendimax + PowerMax,14,1,30,0,15,,,71
101,Xtendimax + PowerMax,14,1,60,0,15,,,72
101,Xtendimax + PowerMax,14,1,90,2,17,,,76
101,Xtendimax + PowerMax,14,1,120,0,16,,,77
101,Xtendimax + PowerMax,14,1,150,2,16,,,73
101,Xtendimax + PowerMax,14,1,180,2,15,,,71
101,Xtendimax + PowerMax,14,1,210,0,16,,,72
101,Xtendimax + PowerMax,14,1,240,0,16,,,69
101,Xtendimax + PowerMax,14,1,270,0,16,,,68
101,Xtendimax + PowerMax,14,1,300,0,15,,,67
102,Xtendimax II + PowerMax,14,1,0,2,16,77,54,72
102,Xtendimax II + PowerMax,14,1,30,2,16,,,74
102,Xtendimax II + PowerMax,14,1,60,5,15,,,73
102,Xtendimax II + PowerMax,14,1,90,5,16,,,76
102,Xtendimax II + PowerMax,14,1,120,5,15,,,75
102,Xtendimax II + PowerMax,14,1,150,2,16,,,72
102,Xtendimax II + PowerMax,14,1,180,0,16,,,75
102,Xtendimax II + PowerMax,14,1,210,0,15,,,74
102,Xtendimax II + PowerMax,14,1,240,0,16,,,75
102,Xtendimax II + PowerMax,14,1,270,0,15,,,76
102,Xtendimax II + PowerMax,14,1,300,0,16,,,75
103,RupXtend VGrip,14,1,0,5,15,79,79,72
103,RupXtend VGrip,14,1,30,7,16,,,74
103,RupXtend VGrip,14,1,60,5,17,,,75
103,RupXtend VGrip,14,1,90,5,16,,,76
103,RupXtend VGrip,14,1,120,2,16,,,70
103,RupXtend VGrip,14,1,150,5,16,,,70
103,RupXtend VGrip,14,1,180,7,15,,,71
103,RupXtend VGrip,14,1,210,5,16,,,75
103,RupXtend VGrip,14,1,240,5,16,,,76
103,RupXtend VGrip,14,1,270,5,17,,,77
103,RupXtend VGrip,14,1,300,5,16,,,73
104,RupXtend II VGrip,14,1,0,25,16,79,79,71
104,RupXtend II VGrip,14,1,30,15,15,,,74
104,RupXtend II VGrip,14,1,60,15,16,,,75
104,RupXtend II VGrip,14,1,90,12,16,,,71
104,RupXtend II VGrip,14,1,120,12,16,,,70
104,RupXtend II VGrip,14,1,150,12,16,,,72
104,RupXtend II VGrip,14,1,180,10,17,,,74
104,RupXtend II VGrip,14,1,210,10,16,,,74
104,RupXtend II VGrip,14,1,240,5,16,,,76
104,RupXtend II VGrip,14,1,270,5,16,,,73
104,RupXtend II VGrip,14,1,300,2,15,,,77
105,Xtendimax II + Liberty,14,1,0,25,12,74,74,51
105,Xtendimax II + Liberty,14,1,30,15,14,,,74
105,Xtendimax II + Liberty,14,1,60,15,15,,,72
105,Xtendimax II + Liberty,14,1,90,15,15,,,74
105,Xtendimax II + Liberty,14,1,120,12,15,,,75
105,Xtendimax II + Liberty,14,1,150,10,17,,,76
105,Xtendimax II + Liberty,14,1,180,8,17,,,75
105,Xtendimax II + Liberty,14,1,210,5,16,,,76
105,Xtendimax II + Liberty,14,1,240,2,16,,,71
105,Xtendimax II + Liberty,14,1,270,2,17,,,76
105,Xtendimax II + Liberty,14,1,300,2,16,,,72
106,RupXtend II Vgrip + Liberty,14,1,0,15,15,82,82,70
106,RupXtend II Vgrip + Liberty,14,1,30,8,17,,,77
106,RupXtend II Vgrip + Liberty,14,1,60,10,16,,,71
106,RupXtend II Vgrip + Liberty,14,1,90,15,15,,,72
106,RupXtend II Vgrip + Liberty,14,1,120,12,15,,,73
106,RupXtend II Vgrip + Liberty,14,1,150,10,15,,,74
106,RupXtend II Vgrip + Liberty,14,1,180,10,15,,,75
106,RupXtend II Vgrip + Liberty,14,1,210,5,16,,,70
106,RupXtend II Vgrip + Liberty,14,1,240,5,17,,,77
106,RupXtend II Vgrip + Liberty,14,1,270,5,17,,,75
106,RupXtend II Vgrip + Liberty,14,1,300,2,16,,,74
107,Untreated,14,1,0,0,15,75,,73
107,Untreated,14,1,30,0,16,,,72
107,Untreated,14,1,60,0,15,,,76
107,Untreated,14,1,90,0,15,,,73
107,Untreated,14,1,120,0,15,,,72
107,Untreated,14,1,150,0,14,,,75
107,Untreated,14,1,180,0,14,,,76
107,Untreated,14,1,210,0,15.5,,,75
107,Untreated,14,1,240,0,15,,,72
107,Untreated,14,1,270,0,15,,,76
107,Untreated,14,1,300,0,15,,,74
201,RupXtend II VGrip,14,2,0,15,16,78,78,72
201,RupXtend II VGrip,14,2,30,15,15,,,71
201,RupXtend II VGrip,14,2,60,20,16,,,69
201,RupXtend II VGrip,14,2,90,20,16,,,71
201,RupXtend II VGrip,14,2,120,15,14,,,68
201,RupXtend II VGrip,14,2,150,15,15,,,70
201,RupXtend II VGrip,14,2,180,10,16,,,71
201,RupXtend II VGrip,14,2,210,10,16,,,73
201,RupXtend II VGrip,14,2,240,5,15,,,72
201,RupXtend II VGrip,14,2,270,5,15,,,71
201,RupXtend II VGrip,14,2,300,2,14,,,71
202,RupXtend II Vgrip + Liberty,14,2,0,25,14,77,77,65
202,RupXtend II Vgrip + Liberty,14,2,30,25,15,,,70
202,RupXtend II Vgrip + Liberty,14,2,60,20,16,,,70
202,RupXtend II Vgrip + Liberty,14,2,90,18,16,,,65
202,RupXtend II Vgrip + Liberty,14,2,120,15,14,,,74
202,RupXtend II Vgrip + Liberty,14,2,150,15,16,,,70
202,RupXtend II Vgrip + Liberty,14,2,180,15,15,,,71
202,RupXtend II Vgrip + Liberty,14,2,210,15,16,,,72
202,RupXtend II Vgrip + Liberty,14,2,240,12,16,,,71
202,RupXtend II Vgrip + Liberty,14,2,270,10,16,,,70
202,RupXtend II Vgrip + Liberty,14,2,300,10,16,,,71
203,Xtendimax II + PowerMax,14,2,0,5,15,76,71,74
203,Xtendimax II + PowerMax,14,2,30,2,16,,,73
203,Xtendimax II + PowerMax,14,2,60,10,16,,,77
203,Xtendimax II + PowerMax,14,2,90,15,16,,,73
203,Xtendimax II + PowerMax,14,2,120,8,15,,,72
203,Xtendimax II + PowerMax,14,2,150,8,16,,,74
203,Xtendimax II + PowerMax,14,2,180,5,16,,,73
203,Xtendimax II + PowerMax,14,2,210,2,15,,,74
203,Xtendimax II + PowerMax,14,2,240,2,16,,,74
203,Xtendimax II + PowerMax,14,2,270,0,16,,,70
203,Xtendimax II + PowerMax,14,2,300,0,15,,,72
204,Xtendimax II + Liberty,14,2,0,25,14,77,75,68
204,Xtendimax II + Liberty,14,2,30,20,15,,,70
